                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.97351,                0.81734,                 1.2422,                 1.1137,                  0.917,                 1.2846,                 0.7108,                 0.5679,                0.63553,                0.33501,                 1.5369,                 1.2723,                  1.644,                 1.6156,                 1.4121,                 1.6546,               0.006766,               0.006766,               0.006766
                     52,                0.92969,                0.75965,                 1.2163,                 1.0613,                0.83704,                  1.256,                 0.7045,                0.59847,                0.61202,                0.32699,                 1.6113,                 1.3781,                 1.7455,                 1.5908,                 1.6697,                 1.6981,                 0.0067,                 0.0067,                 0.0067
                     53,                 0.9383,                0.74662,                 1.2183,                 1.0604,                0.81972,                  1.255,                0.71931,                0.61317,                0.60012,                0.32672,                 1.6127,                 1.4203,                 1.7509,                 1.6603,                 1.8384,                 1.7558,               0.006634,               0.006634,               0.006634
                     54,                 0.9316,                0.75337,                 1.2129,                 1.0477,                0.83135,                 1.2539,                0.65409,                 0.5525,                0.56397,                0.29223,                 1.6442,                 1.5621,                  1.775,                 1.6897,                 1.9682,                 1.7702,               0.006568,               0.006568,               0.006568
                     55,                0.89464,                0.74516,                 1.2204,                 1.0211,                0.82538,                 1.2739,                 0.6949,                0.57613,                0.60149,                0.29995,                 1.6863,                 1.5974,                 1.8011,                 1.8754,                 1.8607,                 1.8878,               0.006502,               0.006502,               0.006502
                     56,                0.91723,                 0.7052,                  1.197,                 1.0431,                0.76406,                 1.2415,                0.74088,                0.60007,                0.63016,                 0.3349,                 1.5635,                 1.3745,                 1.6796,                 1.7456,                 1.5955,                 1.7229,               0.006436,               0.006436,               0.006436
                     57,                0.91415,                0.70803,                 1.2072,                 1.0233,                0.73804,                 1.2501,                 0.6697,                0.58436,                0.59795,                0.33059,                 1.6151,                 1.5536,                 1.6807,                 1.7388,                 1.7619,                 1.7186,                0.00637,                0.00637,                0.00637
                     58,                0.89958,                 0.6944,                 1.1733,                 1.0236,                 0.7504,                 1.2146,                0.72175,                0.55556,                0.57991,                0.33257,                 1.4655,                 1.3728,                  1.607,                 1.5836,                 1.6415,                 1.6273,               0.006304,               0.006304,               0.006304
                     59,                0.83058,                0.65845,                 1.1649,                0.95501,                0.68579,                 1.2022,                0.66131,                0.58436,                0.60428,                0.34959,                 1.4805,                 1.3786,                 1.5929,                 1.5946,                 1.5794,                 1.6281,               0.006238,               0.006238,               0.006238
                     60,                0.86379,                 0.6666,                 1.1972,                0.99949,                0.72346,                 1.2457,                 0.8063,                0.46914,                0.60316,                0.34491,                 1.5576,                 1.4238,                 1.7388,                 1.6355,                 1.9126,                 1.7156,               0.006172,               0.006172,               0.006172
                     61,                0.84243,                0.68202,                 1.1719,                0.97704,                0.76419,                 1.2213,                0.64152,                0.61317,                0.58074,                0.32645,                 1.5988,                 1.5142,                 1.7327,                 1.6981,                 1.7876,                 1.7625,               0.006106,               0.006106,               0.006106
